1658241145,191027,0000,36.31,4.21734,6.6
1658241203,191025,0000,41.87,4.2436,7.15
1658244027,191029,0000,35.57,3.69919,6.62
1658245326,191028,0000,36.64,3.71877,6.2
1658247960,191031,0000,35.08,3.60587,5.9
1658248844,191030,0000,35.67,3.95958,6.4
1658249618,191102,0000,33.52,3.61446,6.58
1658249673,191104,0000,32.87,3.97079,6.42
1658250591,191106,0000,32.55,3.90063,5.93
1658251349,191106,0000,33.31,4.11485,6.13
1658251658,191102,0000,33.52,3.61446,6.58
1658253360,191107,0000,31.92,4.32818,5.82
1658254446,191108,0000,32.41,4.1402,5.78
1658254555,191107,0000,31.51,4.02313,5.75
1658260040,191109,0000,31.51,3.91683,5.96
1658263436,191111,0000,30.24,4.42279,6.12
1658270673,191111,0000,30.24,4.42279,6.12
1658365414,191111,1227,30.24,4.42279,6.12
1658394122,191112,1410,31.02,4.07709,6.06
1658507315,191112,1410,36.8,3.21324,15.33
1658509947,191112,1410,36.8,6.23174,15.33
1658762674,191025,1701,48.54,5.46482,21.5
1658763203,191113,1356,35.37,6.50888,14.5
1658763691,191023,1601,50.88,5.52583,23.14
1658763974,191027,1545,42.94,5.40418,19.03
1658764079,191024,1421,50.15,5.69184,22.65
1658770769,191028,1408,43.46,5.12166,18.64
1658774445,191030,1621,42.36,5.79409,18.25
1658774511,191104,1200,38.93,6.03774,16.41
1658778760,191109,2234,37.21,5.98192,14.93
1658779845,191107,1156,37.54,6.13787,15.53
1658779979,191106,1613,38.64,5.91683,15.81
1658780105,191108,1345,37.72,6.32485,15.07
1658786497,191110,1920,36.94,5.84067,15.23
1658787704,191107,2300,37.7,6.09642,15.29
1658787852,191106,1326,39.11,5.86753,15.82
1658788379,191112,1410,36.8,6.23174,15.33
1658790037,191111,1227,35.77,6.47353,14.61
1658791145,191114,1240,35.2,6.48807,13.68
1658791376,191113,1356,35.37,6.50888,14.5
1659437825,191116,2214,33.34,6.33974,13.45
1659438135,191117,1419,33.61,6.19835,13.58
1659438281,191118,1348,33.78,6.25964,13.42
1659438928,191119,1245,33.09,5.91568,13.41
1659440486,191120,1332,32.67,6.91838,13.43
1659575214,191121,1520,32.36,7.05607,13.29
1660325298,191122,1546,31.43,7.39394,12.42
1660325313,191122,1546,31.43,7.39394,12.42
1660326471,191123,1531,30.71,6.67161,12.71
1660326480,191123,1531,30.71,6.67161,12.71
1660327381,191124,2210,30.26,6.89915,11.93
1660327387,191124,2210,30.26,6.89915,11.93
1660328298,191125,1230,30.7,6.5819,12.37
1660328298,191125,1230,30.7,6.5819,12.37
1660367144,191127,1300,30.67,6.44595,12.08
1661280980,191128,1744,30.04,6.8939,11.79
1661281882,191129,1440,30.13,7.00129,11.34
1661282785,191130,1610,30.18,6.13791,11.84
1661283688,191201,2350,29.99,6.79362,11.21
1661933393,191203,1421,30.11,6.9505,11.47
1661934538,191204,1611,29.93,7.40552,11.43
1662167289,191205,1920,30.05,6.29096,12
1662169090,191206,1601,29.17,6.93931,11.31
1662169842,191207,1700,29.4,6.73102,11.44
1662346893,191209,0851,30.58,6.66499,11.87
1662348665,191209,1852,29.46,7.57817,11.25
1662349667,191210,1409,29.36,6.87402,11.16
1663245457,191212,1608,29.42,7.62332,11.6
1663253056,191215,1459,29.93,7.05426,11.79
1663254202,191211,2348,29.97,7.65253,11.52
1663342330,191213,1557,29.25,6.55782,11.08
1685534876,191201,2350,29.99,6.79362,11.21
1685760994,191216,1319,29.88,7.0829,11.13
1685785050,191217,1153,35.5,5.74713,13.5
1685892700,191218,1335,29.0275,7.1573,11.005
1685898560,191217,1153,29.125,7.0095,11.135
1685903416,191221,1503,29.09,7.37278,10.8075
1685903754,191219,1018,29.3525,7.18989,11.3225
1685904797,191220,0927,28.96,7.66928,10.8325
1685908517,191222,0938,29.2225,7.11344,11.14
1685913887,191223,1733,29.4,7.38663,11.1425
1685914030,191225,1255,29.3075,7.42921,11.2325
1685915826,191224,1135,29.21,7.33823,11.025
1685920581,191227,0858,29.5925,7.2301,11.52
1685923446,191226,1200,29.6675,7.54383,11.205
1686043934,191228,095,29.645,6.90379,11.23
1686049382,191229,1047,29.0575,6.83333,11.01
1686050388,191230,1024,29.7925,7.21401,11.26
1686052141,191231,1700,29.565,7.16629,11.1075
1686550195,200101,2137,29.4825,7.24724,11.22
1686555202,200103,0035,29.4775,7.19652,10.9025
1686555488,200102,0957,29.19,7.03867,10.9125
1686556941,191201,2350,29.99,6.79362,11.21
1686561252,200104,0905,29.355,7.14522,10.955
1686566266,200105,0958,29.5775,7.33588,11.17
1686567068,200106,1758,29.5525,6.87108,11.385
1686568989,191201,2350,29.99,6.79362,11.21
1686575136,200107,1043,29.37,7.22979,11.1725
1686680531,200108,0929,28.705,7.33311,10.905
1686685795,200109,1124,28.9975,6.6783,10.9025
1686686949,200110,1643,29.4225,7.54879,11.23
1686692422,200112,1740,29.335,7.44069,11.18
1686696847,200111,1649,29.72,7.47021,11.155
1686697689,200113,0841,29.1375,7.57677,10.945
1686710045,200114,1538,29.205,7.34678,11.075
1686714457,200116,1820,29.0987,6.80579,10.7691
1686715331,200115,1554,29.54,7.44982,10.755
1686725084,200118,2054,29.125,7.51734,10.875
1686815666,200119,0828,29.68,7.4728,11.0475
1686816339,200117,1003,28.9175,7.22451,10.9475
1686824477,200121,0901,29.1675,7.71734,10.99
1686825530,200120,1605,29.7525,7.20803,11.25
1686831502,200123,1742,29.54,7.7555,11.1575
1686836699,200122,1005,29.9575,7.45561,11.6125
1686838244,200124,0849,29.4525,7.44842,11.0625
